Cong_suat_hoat_dong_toan_cau,Cong_suat_phan_khang_toan_cau,Dien_ap,Cuong_do_toan_cau
2.57425406	,0.138193263	,242.8383893	,10.2
2.477230555	,0.152196774	,241.685468	,10.4
2.586163908	,0.188371484	,241.7290262	,10.2
2.666020941	,0.080481809	,242.0543921	,11
2.527996583	,0.102741034	,241.4340587	,10.2
2.606834746	,0.054139687	,240.9035016	,11
2.485786317	,0.048037796	,242.4726496	,11
2.617889948	,0.243648077	,241.0247517	,10.6
2.521405777	,0.190804105	,241.7609205	,11
2.497401248	,0.126538373	,241.103686	,10.2
2.588551923	,0.058672974	,240.8140639	,10.2
2.460544305	,0.065623972	,242.5644186	,10.6
2.643340447	,0.014971523	,242.8179856	,11
2.457061178	,0.112079489	,242.7903114	,10.2

	
